age,tenure_months,monthly_charge,support_tickets,contract_type,auto_pay,region,target
38,71,103.91,0,one_year,yes,north,0
67,0,63.62,6,month_to_month,yes,south,1
58,0,99.39,0,month_to_month,no,east,1
72,36,66.97,2,month_to_month,no,south,1
31,57,74.55,4,month_to_month,yes,west,0
20,30,79.15,3,one_year,no,south,1
58,31,99.21,4,month_to_month,yes,north,1
19,35,28.3,2,one_year,yes,east,0
41,5,73.75,2,month_to_month,no,north,1
39,64,80.27,1,two_year,no,east,0
23,59,77.16,2,month_to_month,yes,north,0
65,9,50.72,0,month_to_month,yes,west,1
27,35,34.03,1,month_to_month,yes,south,0
29,24,52.32,3,month_to_month,yes,east,1
73,19,28.72,2,one_year,yes,north,0
30,29,147.57,0,month_to_month,yes,north,1
28,56,59.49,1,month_to_month,yes,north,1
68,15,57.22,3,month_to_month,no,south,1
27,48,95.77,0,two_year,no,east,0
25,4,114.02,2,month_to_month,no,west,1
67,71,40.7,2,one_year,yes,south,0
58,40,67.98,2,month_to_month,no,west,1
59,35,51.58,2,one_year,yes,west,0
73,49,83.65,2,month_to_month,yes,north,1
32,28,59.6,0,month_to_month,no,east,1
54,44,56.21,0,two_year,yes,north,0
34,5,46.82,2,month_to_month,yes,north,0
64,39,62.25,4,month_to_month,yes,west,1
52,37,40.07,2,one_year,yes,north,0
53,22,31.38,0,month_to_month,yes,south,0
55,69,165.63,2,two_year,no,west,0
54,6,215.28,1,month_to_month,no,west,1
37,52,45.07,1,month_to_month,yes,north,1
22,51,103.47,2,month_to_month,no,north,0
25,7,103.58,1,one_year,yes,north,0
59,61,57.45,2,one_year,yes,south,0
24,20,79.67,0,two_year,yes,east,0
51,49,104.62,1,month_to_month,no,north,1
34,58,34.34,0,one_year,yes,south,0
34,15,107.78,1,one_year,yes,west,0
70,42,98.54,4,month_to_month,yes,east,1
53,47,69.82,3,month_to_month,yes,south,0
25,17,130.56,2,one_year,yes,east,0
48,32,53.7,3,one_year,yes,east,0
22,10,56.04,1,two_year,yes,south,0
29,7,82.28,1,month_to_month,no,south,1
25,61,44.25,6,one_year,no,south,0
26,19,155.07,3,one_year,yes,north,1
39,68,48.95,0,month_to_month,yes,east,0
41,46,43.81,0,month_to_month,yes,south,0
52,26,106.1,2,month_to_month,no,west,0
48,48,114.37,1,two_year,no,north,0
50,5,105.02,2,month_to_month,yes,west,1
53,5,61.97,4,month_to_month,yes,west,1
32,55,46.69,2,one_year,yes,west,0
72,25,97.55,1,two_year,no,west,1
28,31,76.9,0,one_year,no,north,0
61,43,98.56,1,one_year,yes,east,0
41,31,142.04,4,one_year,no,south,0
19,44,86.55,2,one_year,no,east,0
27,1,161.25,2,one_year,yes,west,0
56,14,118.04,1,one_year,no,east,1
33,27,45.15,0,one_year,yes,north,0
47,11,202.21,5,one_year,yes,south,1
43,3,49.77,2,one_year,no,east,0
19,26,59.81,1,month_to_month,yes,north,1
40,40,107.29,1,one_year,no,west,0
34,4,66.14,1,one_year,no,south,1
46,55,117.01,2,two_year,yes,south,0
24,59,31.5,1,month_to_month,no,west,0
74,68,92.15,0,one_year,no,south,0
44,14,67.64,3,month_to_month,no,east,1
21,3,101.11,1,month_to_month,yes,north,1
56,50,44.57,2,two_year,yes,west,0
54,51,26.95,2,month_to_month,no,north,1
24,67,123.41,0,one_year,no,west,0
