type,amount,oldbalanceOrg,oldbalanceDest,newbalanceOrig,newbalanceDest,isFraud,balance_change_orig,balance_change_dest,amount_to_balance_ratio,dest_to_amount_ratio,dest_unchanged,origin_near_zero,origin_significant_drop,is_cash_out,is_transfer,high_value,medium_value
CASH_OUT,146.15580116553886,4228.0300220369345,31860.983455128222,4081.8742208713957,31714.827653962682,0.0,-146.15580116553883,-146.15580116553974,0.034560123811829116,-0.9932044812907226,0,0,0,1,0,0,0
CASH_OUT,655.7595709328882,69.00144780681826,211.7998573070353,0.0,0.0,0.0,-69.00144780681826,-211.7998573070353,9.367800116685816,-0.322492228025221,0,1,1,1,0,0,0
CASH_IN,293.547115360357,710336.8902515584,283.80279322745014,710630.4373669188,577.3499085878071,0.0,293.54711536038667,293.547115360357,0.0004132499749610717,0.9966049574147872,0,0,0,0,0,0,0
CASH_IN,67.55394812949565,513.5613590428535,617.4147284319519,581.1153071723492,684.9686765614475,0.0,67.55394812949567,67.55394812949567,0.13128453379234342,0.985412948090006,1,0,0,0,0,0,0
CASH_OUT,1973.6914732892058,274.81204892279334,7743.886521115211,0.0,5770.195047826005,0.0,-274.81204892279334,-1973.6914732892055,7.155929122739997,-0.9994935917769805,0,1,1,1,0,0,0
CASH_OUT,503.50959692540715,572.2963787450213,291.59697329185553,68.78678181961419,0.0,0.0,-503.50959692540715,-291.59697329185553,0.8782710227956062,-0.5779810236889682,0,1,1,1,0,0,0
PAYMENT,2086.8590092598433,73974.97540473081,1611.2139421824606,71888.11639547096,3698.0729514423037,0.0,-2086.859009259846,2086.8590092598433,0.028209955973441444,0.9995210404555265,0,0,0,0,0,0,0
CASH_IN,55.184458012153875,50204.64738308287,15123.329349870004,50259.83184109502,15178.513807882158,0.0,55.18445801215421,55.18445801215421,0.0010991683383959042,0.9822014835529188,1,0,0,0,0,0,0
CASH_IN,264.17274764314834,584.8950045402449,15.211537712026288,849.0677521833933,279.38428535517465,0.0,264.17274764314834,264.17274764314834,0.450887523525561,0.9962288734084178,0,0,0,0,0,0,0
CASH_OUT,67.16469775420764,2760.4338156108793,6129.712700661294,2693.2691178566715,6062.548002907086,0.0,-67.16469775420774,-67.16469775420774,0.02432239997008568,-0.9853296496141484,1,0,0,1,0,0,0
