policy_id,exposure,area,region,vehicle_power,vehicle_age,driver_age,bonus_malus,density,vehicle_brand,claim_count,claim_amount,annualized_loss_cost,material_loss_flag,renewal_period
POL100000,0.719,B,North,7,12.9,22,89,6423,B3,0,0.0,0.0,1,Current Year
POL100001,0.923,D,West,5,6.0,55,50,207,B1,0,0.0,0.0,0,Current Year
POL100002,0.832,B,Metro,7,4.8,45,100,216,B1,0,0.0,0.0,0,Prior Year
POL100003,0.419,D,West,6,10.3,18,74,631,B6,0,0.0,0.0,0,Prior Year
POL100004,0.475,B,East,6,19.1,45,68,225,B1,0,0.0,0.0,0,Current Year
POL100005,0.905,B,North,13,9.0,39,105,864,B2,0,0.0,0.0,0,Current Year
POL100006,0.254,A,Metro,5,15.4,21,97,906,B1,0,0.0,0.0,0,Current Year
POL100007,0.866,C,West,6,12.8,32,58,1318,B6,0,0.0,0.0,0,Prior Year
POL100008,0.848,A,East,7,22.7,31,121,899,B3,0,0.0,0.0,0,Current Year
POL100009,0.601,B,Central,5,4.4,20,82,732,B1,0,0.0,0.0,0,Prior Year
POL100010,0.477,B,Metro,8,14.9,50,66,249,B5,0,0.0,0.0,0,Prior Year
POL100011,0.459,B,West,14,13.5,30,50,389,B3,0,0.0,0.0,0,Prior Year
POL100012,0.441,A,West,5,2.8,18,98,569,B6,0,0.0,0.0,0,Prior Year
POL100013,0.584,A,South,6,14.9,19,90,907,B2,0,0.0,0.0,0,Prior Year
POL100014,0.628,D,South,13,13.0,53,56,1053,B2,0,0.0,0.0,0,Prior Year
POL100015,0.665,C,Central,6,17.6,45,68,636,B4,0,0.0,0.0,0,Prior Year
POL100016,0.997,D,Central,12,8.9,64,68,1900,B7,0,0.0,0.0,0,Current Year
POL100017,0.844,D,Metro,8,6.0,28,87,206,B1,0,0.0,0.0,1,Current Year
POL100018,0.717,D,North,11,17.4,55,85,1349,B4,1,7049.44,9836.87,1,Current Year
POL100019,0.992,C,South,5,5.5,26,124,1016,B3,0,0.0,0.0,1,Current Year
POL100020,0.411,E,South,10,3.7,41,100,161,B5,0,0.0,0.0,1,Prior Year
POL100021,0.37,A,South,7,3.8,34,57,400,B7,0,0.0,0.0,0,Prior Year
POL100022,0.709,B,West,11,8.3,59,77,4060,B4,0,0.0,0.0,0,Current Year
POL100023,0.283,A,South,4,4.9,57,79,155,B6,0,0.0,0.0,0,Current Year
POL100024,0.277,C,Metro,8,8.7,27,64,568,B6,0,0.0,0.0,0,Current Year
POL100025,0.636,E,East,8,7.8,48,50,281,B2,0,0.0,0.0,0,Prior Year
POL100026,0.6,C,West,7,5.8,28,78,697,B4,0,0.0,0.0,0,Current Year
POL100027,0.938,E,Metro,15,19.0,34,94,5229,B1,0,0.0,0.0,1,Prior Year
POL100028,0.722,D,Metro,11,12.6,36,119,1263,B3,0,0.0,0.0,1,Current Year
POL100029,0.636,A,North,7,1.6,55,82,365,B1,0,0.0,0.0,0,Prior Year
POL100030,0.623,A,North,10,6.5,55,51,3787,B6,0,0.0,0.0,0,Prior Year
POL100031,0.436,D,Metro,7,9.4,52,58,1784,B3,1,4574.4,10500.49,0,Prior Year
POL100032,0.259,F,East,12,8.8,20,92,389,B1,1,11193.15,43242.57,1,Current Year
POL100033,0.394,B,Metro,8,10.4,38,76,193,B3,0,0.0,0.0,0,Prior Year
POL100034,0.769,F,East,8,10.0,48,54,862,B2,0,0.0,0.0,0,Current Year
POL100035,0.4,D,Central,5,2.4,48,80,229,B4,0,0.0,0.0,0,Prior Year
POL100036,0.527,A,Coastal,7,14.5,52,57,282,B1,0,0.0,0.0,0,Prior Year
POL100037,0.253,B,North,6,5.3,33,135,192,B6,0,0.0,0.0,0,Prior Year
POL100038,0.873,E,East,10,9.9,66,100,65,B6,1,3433.32,3934.88,0,Prior Year
POL100039,0.366,E,Metro,11,9.3,50,60,191,B2,0,0.0,0.0,0,Prior Year
POL100040,0.451,D,East,8,5.4,36,61,1683,B2,0,0.0,0.0,0,Current Year
POL100041,0.91,F,West,11,7.4,54,112,89,B5,0,0.0,0.0,1,Current Year
POL100042,0.632,E,South,12,6.4,42,57,179,B5,0,0.0,0.0,0,Current Year
POL100043,0.885,F,West,6,13.1,45,73,123,B7,0,0.0,0.0,0,Prior Year
POL100044,0.73,C,Central,10,8.9,46,51,1757,B4,0,0.0,0.0,0,Current Year
POL100045,0.806,C,Metro,5,5.7,35,72,2644,B1,0,0.0,0.0,1,Current Year
POL100046,0.319,B,East,7,6.8,35,76,15,B2,0,0.0,0.0,0,Current Year
POL100047,0.656,B,South,6,7.4,49,74,426,B1,0,0.0,0.0,0,Current Year
POL100048,0.631,B,East,7,6.0,30,66,655,B1,0,0.0,0.0,0,Current Year
POL100049,0.904,B,Coastal,4,15.8,27,76,155,B5,0,0.0,0.0,0,Current Year
POL100050,0.521,F,Metro,7,8.7,40,67,286,B2,0,0.0,0.0,0,Prior Year
POL100051,0.699,D,East,10,11.9,64,61,460,B3,0,0.0,0.0,0,Prior Year
POL100052,0.294,F,Metro,13,2.0,33,75,212,B6,0,0.0,0.0,0,Current Year
POL100053,0.541,A,West,7,6.0,48,85,834,B4,0,0.0,0.0,0,Current Year
POL100054,0.492,D,West,14,9.2,41,102,1163,B4,1,7538.58,15313.68,1,Prior Year
POL100055,0.363,C,Metro,10,6.9,18,72,410,B4,0,0.0,0.0,1,Prior Year
POL100056,0.862,F,Metro,12,6.2,32,51,1176,B1,0,0.0,0.0,1,Current Year
POL100057,0.535,A,South,7,4.8,63,64,5638,B2,0,0.0,0.0,0,Current Year
POL100058,0.984,D,West,15,4.2,50,63,1760,B3,0,0.0,0.0,1,Prior Year
POL100059,0.692,C,North,5,13.7,22,53,221,B6,0,0.0,0.0,0,Current Year
POL100060,0.704,A,North,11,12.8,27,84,216,B1,0,0.0,0.0,0,Current Year
POL100061,0.728,C,Metro,9,13.3,62,115,730,B3,0,0.0,0.0,1,Current Year
POL100062,0.757,B,North,8,3.8,42,69,2569,B2,0,0.0,0.0,0,Prior Year
POL100063,0.363,B,Metro,13,14.6,50,77,356,B3,0,0.0,0.0,0,Prior Year
POL100064,0.58,A,Metro,7,25.0,30,88,81,B3,0,0.0,0.0,0,Prior Year
POL100065,0.43,E,Coastal,12,11.9,50,84,145,B3,0,0.0,0.0,0,Current Year
POL100066,0.552,B,South,10,7.4,50,50,365,B6,0,0.0,0.0,0,Prior Year
POL100067,0.323,F,Metro,12,6.5,44,109,460,B1,0,0.0,0.0,1,Current Year
POL100068,0.976,A,South,15,11.7,71,83,1153,B4,0,0.0,0.0,0,Prior Year
POL100069,0.411,E,Metro,9,9.7,23,74,1089,B6,1,1031.88,2509.12,1,Current Year
POL100070,0.754,F,South,11,2.4,41,117,330,B6,0,0.0,0.0,1,Prior Year
POL100071,0.475,C,North,10,1.3,43,64,323,B7,0,0.0,0.0,0,Current Year
POL100072,0.906,E,Metro,9,4.6,53,50,455,B1,0,0.0,0.0,0,Current Year
POL100073,0.747,B,North,10,5.1,58,50,209,B3,0,0.0,0.0,0,Prior Year
POL100074,0.349,A,Metro,9,1.9,51,101,257,B3,0,0.0,0.0,0,Prior Year
POL100075,0.884,D,East,8,2.7,61,84,367,B3,0,0.0,0.0,0,Prior Year
POL100076,0.959,C,Central,7,2.5,57,96,1069,B5,0,0.0,0.0,1,Prior Year
POL100077,0.928,E,Metro,11,12.1,36,70,86,B3,0,0.0,0.0,1,Current Year
POL100078,0.677,C,West,14,11.5,40,77,1412,B5,0,0.0,0.0,0,Prior Year
POL100079,0.359,F,Central,9,14.8,40,107,220,B4,0,0.0,0.0,1,Prior Year
POL100080,0.394,C,Coastal,6,16.9,40,83,14,B4,0,0.0,0.0,0,Current Year
POL100081,0.946,C,Central,9,10.0,25,76,33,B4,0,0.0,0.0,0,Prior Year
POL100082,0.664,D,Central,7,11.7,42,115,420,B1,0,0.0,0.0,1,Prior Year
POL100083,0.385,F,South,15,6.6,53,64,1463,B5,0,0.0,0.0,1,Prior Year
POL100084,0.913,B,Metro,13,12.0,56,61,849,B4,0,0.0,0.0,0,Prior Year
POL100085,0.731,B,North,7,7.1,39,100,80,B4,0,0.0,0.0,0,Prior Year
POL100086,0.677,E,East,7,4.4,61,76,1593,B4,0,0.0,0.0,1,Prior Year
POL100087,0.532,B,Central,10,13.8,42,74,566,B1,0,0.0,0.0,0,Current Year
POL100088,0.558,B,North,6,3.0,19,79,338,B7,0,0.0,0.0,0,Prior Year
POL100089,0.43,C,Metro,11,12.5,49,71,939,B4,0,0.0,0.0,0,Current Year
POL100090,0.279,B,South,7,22.7,18,84,977,B1,0,0.0,0.0,0,Prior Year
POL100091,0.907,A,Metro,9,17.9,48,78,1139,B5,0,0.0,0.0,1,Current Year
POL100092,0.601,D,North,9,5.3,55,50,113,B5,0,0.0,0.0,0,Prior Year
POL100093,0.661,C,Metro,7,13.0,22,75,215,B7,0,0.0,0.0,0,Prior Year
POL100094,0.492,A,Metro,6,6.5,50,53,902,B3,0,0.0,0.0,0,Current Year
POL100095,0.813,B,West,9,6.9,43,88,366,B2,0,0.0,0.0,0,Prior Year
POL100096,0.269,C,North,8,15.3,23,95,114,B4,0,0.0,0.0,0,Prior Year
POL100097,0.529,B,Metro,11,7.9,38,65,473,B1,0,0.0,0.0,0,Prior Year
POL100098,0.273,D,North,11,3.5,18,79,322,B5,0,0.0,0.0,0,Current Year
POL100099,0.342,A,North,8,15.8,62,64,1889,B5,0,0.0,0.0,0,Current Year
POL100100,0.975,C,Metro,12,19.8,26,116,1593,B3,0,0.0,0.0,1,Current Year
POL100101,0.743,B,East,7,2.7,41,50,2274,B5,0,0.0,0.0,0,Current Year
POL100102,0.571,F,South,11,13.2,54,76,566,B2,0,0.0,0.0,1,Prior Year
POL100103,0.643,A,Central,10,12.1,46,138,1816,B7,0,0.0,0.0,1,Prior Year
POL100104,0.905,A,East,7,13.3,42,129,1494,B3,0,0.0,0.0,0,Prior Year
POL100105,0.508,B,Central,5,2.4,42,50,154,B5,0,0.0,0.0,0,Current Year
POL100106,0.693,F,Metro,5,16.7,59,90,686,B4,0,0.0,0.0,1,Prior Year
POL100107,0.763,C,South,6,11.8,45,53,3634,B1,0,0.0,0.0,0,Current Year
POL100108,0.517,E,South,5,2.6,32,57,391,B5,0,0.0,0.0,0,Current Year
POL100109,0.639,A,Coastal,6,7.7,39,80,103,B5,0,0.0,0.0,0,Prior Year
POL100110,0.824,E,Coastal,9,10.4,27,69,490,B2,0,0.0,0.0,0,Prior Year
POL100111,0.932,D,Metro,8,12.3,40,111,541,B5,1,5248.41,5632.04,1,Current Year
POL100112,0.363,F,North,7,5.7,27,89,310,B5,0,0.0,0.0,1,Current Year
POL100113,0.95,B,North,13,16.7,49,78,3304,B2,0,0.0,0.0,0,Current Year
POL100114,0.254,A,Central,8,4.3,52,97,884,B3,0,0.0,0.0,0,Current Year
POL100115,0.815,F,West,11,10.2,32,73,663,B5,0,0.0,0.0,1,Current Year
POL100116,0.858,F,West,11,13.1,62,63,463,B2,0,0.0,0.0,0,Prior Year
POL100117,0.353,C,Metro,9,25.0,35,102,538,B5,0,0.0,0.0,0,Prior Year
POL100118,0.564,E,North,11,10.2,61,95,256,B6,0,0.0,0.0,0,Prior Year
POL100119,0.861,E,South,7,10.5,42,58,657,B5,0,0.0,0.0,0,Prior Year
POL100120,0.261,C,East,10,0.4,54,53,1491,B1,0,0.0,0.0,0,Prior Year
POL100121,0.721,C,Metro,6,11.7,40,50,43,B3,0,0.0,0.0,0,Current Year
POL100122,0.845,A,North,10,8.6,51,92,58,B3,0,0.0,0.0,0,Current Year
POL100123,0.635,D,Central,7,8.6,60,92,159,B1,0,0.0,0.0,0,Prior Year
POL100124,0.794,D,West,9,10.7,73,61,609,B1,0,0.0,0.0,0,Current Year
POL100125,0.42,D,East,13,7.8,29,103,1123,B5,0,0.0,0.0,1,Current Year
POL100126,0.399,D,South,5,6.6,42,92,255,B3,0,0.0,0.0,0,Current Year
POL100127,0.522,C,North,5,3.6,60,80,710,B3,0,0.0,0.0,0,Current Year
POL100128,0.385,B,East,7,25.0,56,89,562,B1,0,0.0,0.0,0,Prior Year
POL100129,0.51,F,Metro,7,11.7,27,64,1243,B4,0,0.0,0.0,1,Prior Year
POL100130,0.961,A,Metro,9,15.8,51,100,231,B4,0,0.0,0.0,0,Prior Year
POL100131,0.68,B,North,7,3.0,52,55,310,B1,0,0.0,0.0,0,Current Year
POL100132,0.505,B,West,8,4.2,48,66,429,B1,0,0.0,0.0,0,Prior Year
POL100133,0.454,D,South,14,2.8,41,56,450,B4,0,0.0,0.0,0,Prior Year
POL100134,0.964,C,Metro,6,7.7,44,69,298,B4,0,0.0,0.0,0,Prior Year
POL100135,0.583,C,Central,4,10.7,23,54,2238,B2,0,0.0,0.0,0,Prior Year
POL100136,0.985,C,Metro,10,4.2,38,50,1198,B6,0,0.0,0.0,0,Current Year
POL100137,0.637,D,West,8,8.4,54,102,138,B6,0,0.0,0.0,0,Current Year
POL100138,0.641,A,Coastal,14,7.9,44,50,173,B3,0,0.0,0.0,0,Prior Year
POL100139,0.922,C,South,6,5.4,62,57,3095,B1,0,0.0,0.0,0,Prior Year
POL100140,0.807,C,Coastal,10,20.1,48,76,270,B6,1,4319.61,5352.18,1,Prior Year
POL100141,0.685,D,North,8,16.1,22,71,721,B5,0,0.0,0.0,0,Current Year
POL100142,0.57,C,East,15,4.6,21,102,750,B2,0,0.0,0.0,1,Current Year
POL100143,0.909,A,North,5,22.2,47,50,7,B7,0,0.0,0.0,0,Prior Year
POL100144,0.559,D,Central,6,3.1,41,78,131,B5,0,0.0,0.0,0,Prior Year
POL100145,0.942,C,North,6,13.3,53,72,194,B7,0,0.0,0.0,0,Prior Year
POL100146,0.302,F,Coastal,10,14.9,58,57,124,B7,0,0.0,0.0,0,Current Year
POL100147,0.572,C,East,12,10.1,45,74,1651,B4,0,0.0,0.0,0,Prior Year
POL100148,0.64,D,North,9,5.8,37,84,519,B5,0,0.0,0.0,0,Current Year
POL100149,0.963,A,Central,7,12.3,23,74,178,B3,0,0.0,0.0,0,Prior Year
POL100150,0.438,D,Central,4,1.6,50,50,319,B5,0,0.0,0.0,0,Current Year
POL100151,0.855,A,North,7,1.7,61,86,507,B4,0,0.0,0.0,0,Current Year
POL100152,0.757,D,North,14,2.5,18,50,265,B2,0,0.0,0.0,0,Prior Year
POL100153,0.788,D,North,10,3.2,73,50,163,B1,0,0.0,0.0,0,Prior Year
POL100154,0.722,D,Coastal,5,3.2,28,93,196,B4,0,0.0,0.0,0,Current Year
POL100155,0.979,C,Coastal,14,7.4,31,71,1027,B2,0,0.0,0.0,0,Current Year
POL100156,0.5,C,East,9,6.0,45,60,596,B1,0,0.0,0.0,0,Prior Year
POL100157,0.549,A,Coastal,7,4.9,39,75,74,B1,0,0.0,0.0,0,Current Year
POL100158,0.402,B,West,11,2.5,46,71,908,B1,0,0.0,0.0,0,Current Year
POL100159,0.288,E,North,7,6.9,52,73,410,B2,0,0.0,0.0,0,Current Year
POL100160,0.41,F,Coastal,5,11.4,37,70,422,B5,0,0.0,0.0,0,Current Year
POL100161,0.937,B,North,10,15.7,32,93,217,B5,0,0.0,0.0,0,Current Year
POL100162,0.88,C,Central,13,4.8,54,68,235,B1,0,0.0,0.0,0,Prior Year
POL100163,0.334,B,North,10,2.2,49,87,405,B7,0,0.0,0.0,0,Prior Year
POL100164,0.703,B,Central,5,0.7,50,54,223,B5,0,0.0,0.0,0,Current Year
POL100165,0.609,E,Central,11,12.1,45,58,683,B4,0,0.0,0.0,0,Prior Year
POL100166,0.696,E,North,7,12.5,48,71,3087,B1,0,0.0,0.0,0,Current Year
POL100167,0.744,D,East,13,9.6,57,89,145,B2,0,0.0,0.0,0,Prior Year
POL100168,0.48,E,Metro,7,19.2,67,99,74,B2,0,0.0,0.0,1,Prior Year
POL100169,0.971,A,South,8,5.2,54,96,108,B3,0,0.0,0.0,0,Prior Year
POL100170,0.599,E,South,13,7.7,44,118,218,B7,0,0.0,0.0,1,Prior Year
POL100171,0.721,A,Central,8,9.2,34,53,1222,B3,0,0.0,0.0,0,Current Year
POL100172,0.726,A,Central,7,15.1,32,52,482,B6,0,0.0,0.0,0,Prior Year
POL100173,0.388,A,West,6,4.5,43,63,247,B4,0,0.0,0.0,0,Current Year
POL100174,0.296,B,East,8,3.6,18,50,169,B2,0,0.0,0.0,0,Prior Year
POL100175,0.559,C,East,5,1.9,28,66,389,B2,0,0.0,0.0,0,Current Year
POL100176,0.823,A,West,10,25.0,77,50,1345,B1,0,0.0,0.0,0,Current Year
POL100177,0.861,F,West,12,6.5,57,50,145,B4,0,0.0,0.0,0,Prior Year
POL100178,0.797,C,West,6,3.4,48,50,731,B1,0,0.0,0.0,0,Current Year
POL100179,0.335,F,Coastal,8,11.8,46,70,925,B1,0,0.0,0.0,1,Current Year
POL100180,0.935,D,South,6,4.4,31,67,568,B7,0,0.0,0.0,0,Current Year
POL100181,0.852,B,East,12,12.1,47,99,672,B5,0,0.0,0.0,0,Current Year
POL100182,0.908,B,East,7,9.4,28,76,689,B6,0,0.0,0.0,0,Current Year
POL100183,0.642,E,Central,15,18.1,46,79,5150,B7,1,6769.09,10535.91,1,Current Year
POL100184,0.937,C,Metro,8,5.7,62,68,532,B5,0,0.0,0.0,0,Prior Year
POL100185,0.285,A,West,6,14.3,53,80,1016,B4,0,0.0,0.0,0,Prior Year
POL100186,0.273,B,Metro,10,20.7,33,67,129,B7,0,0.0,0.0,0,Prior Year
POL100187,0.265,A,Metro,6,5.4,22,114,248,B5,0,0.0,0.0,1,Prior Year
