provider_id,specialty,region,beneficiary_count,claims_per_beneficiary,avg_allowed_amount,risk_adjustment_score,high_level_code_rate,duplicate_claim_rate,modifier_59_rate,weekend_service_rate,denial_rate,referral_concentration,peer_z_allowed,total_allowed_amount,injected_typology,review_flag
NPI2000000000,Internal Medicine,Northeast,92,5.65,480.87,0.98,0.073,0.086,0.148,0.019,0.071,0.213,-0.94,245871.46,No injected typology,0
NPI2000000001,Pain Management,South,406,6.83,253.68,0.91,0.189,0.006,0.051,0.077,0.01,0.593,-0.77,637624.0,No injected typology,0
NPI2000000002,Home Health,Northeast,221,4.82,297.34,0.62,0.528,0.02,0.157,0.061,0.19,0.288,0.43,196943.46,No injected typology,0
NPI2000000003,Internal Medicine,Northeast,106,6.7,230.96,0.64,0.282,0.037,0.138,0.006,0.059,0.238,0.03,105051.91,No injected typology,0
NPI2000000004,Internal Medicine,Northeast,154,5.92,436.15,0.98,0.113,0.069,0.138,0.09,0.253,0.418,1.18,387960.75,No injected typology,0
NPI2000000005,Oncology,Midwest,312,3.34,609.63,1.05,0.261,0.047,0.005,0.059,0.051,0.06,0.44,664346.09,No injected typology,0
NPI2000000006,Internal Medicine,Northeast,191,4.93,572.23,1.05,0.242,0.01,0.028,0.034,0.112,0.299,-0.73,566640.65,No injected typology,0
NPI2000000007,Internal Medicine,Northeast,477,7.75,377.85,0.81,0.185,0.038,0.029,0.142,0.106,0.1,-0.17,1124747.9,No injected typology,0
NPI2000000008,Oncology,South,93,6.57,309.79,1.31,0.199,0.024,0.186,0.153,0.221,0.324,0.84,248208.93,No injected typology,0
NPI2000000009,Home Health,Northeast,199,6.9,1012.73,1.14,0.069,0.021,0.053,0.058,0.073,0.306,-1.0,1578338.82,No injected typology,0
NPI2000000010,Orthopedics,Midwest,183,7.04,1321.72,0.89,0.113,0.041,0.744,0.075,0.082,0.34,5.55,1516126.66,Unbundling/modifier abuse,1
NPI2000000011,DME Supplier,South,100,5.85,420.19,0.74,0.266,0.145,0.055,0.047,0.111,0.302,0.6,182363.14,No injected typology,0
NPI2000000012,Home Health,West,209,4.23,399.07,1.05,0.234,0.016,0.133,0.091,0.095,0.147,-0.11,371713.34,No injected typology,0
NPI2000000013,Cardiology,Midwest,259,6.95,169.26,1.22,0.514,0.014,0.148,0.048,0.134,0.12,-0.25,371759.07,No injected typology,0
NPI2000000014,Internal Medicine,Northeast,347,4.66,377.78,1.1,0.243,0.062,0.016,0.02,0.117,0.252,1.79,670112.9,No injected typology,0
NPI2000000015,Radiology,West,51,3.46,432.19,1.11,0.196,0.042,0.2,0.012,0.065,0.101,-1.15,84631.77,No injected typology,0
NPI2000000016,Home Health,Northeast,185,6.42,767.38,0.57,0.279,0.056,0.104,0.034,0.213,0.171,1.93,522168.49,No injected typology,0
NPI2000000017,DME Supplier,South,247,7.57,217.35,1.04,0.265,0.072,0.229,0.034,0.077,0.439,0.14,422731.04,No injected typology,0
NPI2000000018,Lab,Northeast,351,6.14,167.86,1.03,0.175,0.049,0.162,0.023,0.032,0.064,-0.1,371284.98,No injected typology,0
NPI2000000019,DME Supplier,Northeast,215,4.77,329.3,1.05,0.156,0.037,0.25,0.26,0.175,0.284,0.21,354758.51,No injected typology,0
NPI2000000020,Oncology,West,175,3.17,279.66,1.19,0.054,0.009,0.256,0.282,0.084,0.227,-0.53,184126.21,No injected typology,0
NPI2000000021,Cardiology,South,112,6.8,256.09,0.96,0.139,0.005,0.174,0.021,0.07,0.163,0.78,187250.37,No injected typology,0
NPI2000000022,DME Supplier,Northeast,409,7.93,279.87,1.42,0.402,0.05,0.063,0.024,0.181,0.374,-1.77,1285259.08,No injected typology,0
NPI2000000023,Pain Management,Midwest,161,5.19,392.77,0.95,0.206,0.013,0.066,0.097,0.118,0.154,1.47,311845.57,No injected typology,0
NPI2000000024,Orthopedics,West,426,6.62,208.53,1.2,0.111,0.04,0.076,0.088,0.17,0.089,-0.67,704286.15,No injected typology,0
NPI2000000025,DME Supplier,Northeast,183,4.15,565.8,1.38,0.152,0.065,0.118,0.076,0.062,0.203,-0.34,590196.89,No injected typology,0
NPI2000000026,Cardiology,West,205,4.83,330.06,0.55,0.147,0.02,0.132,0.208,0.065,0.164,-0.24,179719.07,No injected typology,0
NPI2000000027,Lab,Northeast,105,6.83,187.86,1.21,0.196,0.054,0.152,0.03,0.089,0.171,0.04,163059.23,No injected typology,0
NPI2000000028,Lab,South,76,6.49,214.81,0.84,0.17,0.074,0.243,0.139,0.089,0.097,-1.9,88849.18,No injected typology,0
NPI2000000029,Internal Medicine,Northeast,203,4.95,174.81,1.13,0.3,0.001,0.094,0.048,0.046,0.181,0.52,198549.26,No injected typology,0
