annual_income,debt_to_income,credit_history_years,delinquencies,credit_utilization,employment_type,home_status,target
70415,0.204,21,0,0.527,student,mortgage,0
51896,0.37,5,0,0.141,salaried,mortgage,1
61911,0.353,22,0,0.315,salaried,rent,0
61035,0.086,9,0,0.428,salaried,own,0
68946,0.09,10,1,0.12,salaried,rent,0
55468,0.036,18,1,0.562,salaried,rent,0
64662,0.279,18,0,0.479,self_employed,own,0
54244,0.152,8,0,0.292,salaried,own,0
39560,0.314,21,0,0.549,salaried,rent,0
50892,0.329,22,0,0.273,contract,mortgage,0
57239,0.441,12,2,0.281,contract,mortgage,1
61728,0.089,1,0,0.483,salaried,rent,0
49734,0.451,24,0,0.344,salaried,rent,0
84973,0.35,19,2,0.503,salaried,rent,1
75676,0.216,4,0,0.464,self_employed,mortgage,0
79472,0.158,7,0,0.387,salaried,mortgage,0
70990,0.37,0,1,0.575,contract,own,0
70448,0.525,11,2,0.525,salaried,rent,1
83474,0.28,7,1,0.412,student,rent,1
54505,0.298,4,0,0.168,salaried,mortgage,0
33254,0.358,3,2,0.196,self_employed,own,0
35135,0.233,21,1,0.568,self_employed,rent,1
26281,0.173,17,0,0.725,salaried,own,0
61419,0.313,22,1,0.097,self_employed,rent,0
15000,0.235,4,1,0.289,salaried,mortgage,1
61767,0.36,23,0,0.308,contract,rent,0
67393,0.162,8,0,0.145,salaried,mortgage,0
93291,0.162,1,0,0.306,salaried,rent,0
48367,0.154,20,0,0.563,contract,rent,0
58171,0.064,23,0,0.405,salaried,own,0
56347,0.089,15,0,0.858,contract,own,1
79049,0.161,8,0,0.088,salaried,rent,0
61373,0.199,22,1,0.616,self_employed,rent,0
42634,0.05,21,0,0.635,contract,family,0
56850,0.097,4,0,0.743,self_employed,family,0
114048,0.143,22,0,0.484,salaried,rent,0
80611,0.333,4,1,0.165,student,family,1
26820,0.396,0,0,0.803,salaried,mortgage,0
73845,0.458,20,0,0.278,contract,mortgage,1
78690,0.214,5,1,0.493,salaried,own,1
71878,0.383,7,0,0.676,student,rent,1
74142,0.212,6,0,0.14,salaried,rent,0
46358,0.136,9,0,0.664,self_employed,rent,1
99197,0.291,20,1,0.334,salaried,own,0
48425,0.223,0,0,0.337,salaried,mortgage,0
46975,0.219,21,0,0.486,salaried,rent,0
38594,0.094,8,0,0.583,salaried,mortgage,0
59826,0.079,23,0,0.195,contract,mortgage,0
54364,0.347,12,0,0.747,student,mortgage,1
35772,0.179,20,0,0.483,salaried,mortgage,0
70658,0.239,5,1,0.439,contract,mortgage,1
45193,0.246,22,1,0.367,self_employed,rent,0
69773,0.167,18,0,0.383,contract,own,0
59212,0.091,19,0,0.794,student,own,0
18294,0.432,24,0,0.721,self_employed,family,1
87148,0.106,16,0,0.227,self_employed,rent,0
18478,0.249,2,1,0.487,salaried,mortgage,0
29495,0.061,15,0,0.518,salaried,mortgage,0
75559,0.321,15,1,0.218,salaried,family,0
43526,0.166,15,1,0.232,salaried,own,0
21102,0.416,23,0,0.317,contract,family,1
